Sample,Height,Weight,Age,Gender
1,5.7,68,22,Male
2,5.6,67,29,Male
3,5.6,52,23,Female
4,5.9,80,26,Male
5,5.5,70,30,Male
6,5,54,29,female
7,5.5,70,22,Male
8,5.1,82,25,male
9,5.2,54,25,female
10,6,73,22,Male
11,5.11,79,25,male
12,5.4,66,30,female
13,5.8,88,26,male
14,6.1,83,23,male
15,5.9,75,27,Male
16,5.6,61,30,Female
17,6,82,22,Male
18,5.1,56,36,Male
19,6.1,82,27,Male
20,5.2,66,30,female
21,5.6,66,24,Female
22,5.7,78,26,Male
23,5.5,54,25,Female
24,5.9,70,28,Female
25,5.8,60,26,Male
